Bin, X, Count
574, 3.81085368384492E-4, 1.0
575, 3.817481255468998E-4, 0.0
576, 3.824108827093076E-4, 2.0
577, 3.830736398717154E-4, 3.0
578, 3.837363970341232E-4, 0.0
579, 3.8439915419653104E-4, 0.0
580, 3.8506191135893885E-4, 1.0
581, 3.857246685213467E-4, 0.0
582, 3.863874256837545E-4, 1.0
583, 3.8705018284616226E-4, 1.0
584, 3.877129400085701E-4, 1.0
585, 3.883756971709779E-4, 0.0
586, 3.890384543333857E-4, 1.0
587, 3.8970121149579354E-4, 1.0
588, 3.9036396865820136E-4, 0.0
589, 3.910267258206092E-4, 2.0
590, 3.91689482983017E-4, 4.0
591, 3.9235224014542476E-4, 0.0
592, 3.930149973078326E-4, 0.0
593, 3.936777544702404E-4, 2.0
594, 3.943405116326482E-4, 1.0
595, 3.9500326879505604E-4, 1.0
596, 3.9566602595746386E-4, 1.0
597, 3.963287831198717E-4, 2.0
598, 3.9699154028227944E-4, 2.0
599, 3.9765429744468726E-4, 2.0
600, 3.983170546070951E-4, 2.0
601, 3.989798117695029E-4, 1.0
602, 3.996425689319107E-4, 0.0
603, 4.0030532609431854E-4, 0.0
604, 4.0096808325672636E-4, 0.0
605, 4.016308404191342E-4, 0.0
606, 4.0229359758154194E-4, 3.0
607, 4.0295635474394976E-4, 0.0
608, 4.036191119063576E-4, 2.0
609, 4.042818690687654E-4, 1.0
610, 4.049446262311732E-4, 2.0
611, 4.0560738339358104E-4, 1.0
612, 4.0627014055598886E-4, 1.0
613, 4.069328977183966E-4, 0.0
614, 4.0759565488080444E-4, 3.0
615, 4.0825841204321226E-4, 1.0
616, 4.089211692056201E-4, 2.0
617, 4.095839263680279E-4, 3.0
618, 4.102466835304357E-4, 1.0
619, 4.1090944069284354E-4, 1.0
620, 4.1157219785525136E-4, 0.0
621, 4.122349550176591E-4, 5.0
622, 4.1289771218006694E-4, 0.0
623, 4.1356046934247476E-4, 1.0
624, 4.142232265048826E-4, 2.0
625, 4.148859836672904E-4, 0.0
626, 4.155487408296982E-4, 3.0
627, 4.1621149799210604E-4, 1.0
628, 4.168742551545138E-4, 0.0
629, 4.175370123169216E-4, 3.0
630, 4.1819976947932944E-4, 2.0
631, 4.1886252664173726E-4, 1.0
632, 4.195252838041451E-4, 1.0
633, 4.201880409665529E-4, 1.0
634, 4.208507981289607E-4, 2.0
635, 4.2151355529136854E-4, 2.0
636, 4.221763124537763E-4, 1.0
637, 4.228390696161841E-4, 0.0
638, 4.2350182677859194E-4, 0.0
639, 4.2416458394099976E-4, 1.0
640, 4.248273411034076E-4, 1.0
641, 4.254900982658154E-4, 3.0
642, 4.261528554282232E-4, 3.0
643, 4.26815612590631E-4, 3.0
644, 4.274783697530388E-4, 0.0
645, 4.281411269154466E-4, 0.0
646, 4.2880388407785444E-4, 1.0
647, 4.2946664124026226E-4, 2.0
648, 4.301293984026701E-4, 0.0
649, 4.307921555650779E-4, 3.0
650, 4.314549127274857E-4, 2.0
651, 4.321176698898935E-4, 2.0
652, 4.327804270523013E-4, 1.0
653, 4.334431842147091E-4, 1.0
654, 4.3410594137711694E-4, 0.0
655, 4.3476869853952476E-4, 1.0
656, 4.354314557019326E-4, 1.0
657, 4.360942128643404E-4, 2.0
658, 4.3675697002674817E-4, 0.0
659, 4.37419727189156E-4, 1.0
660, 4.380824843515638E-4, 2.0
661, 4.387452415139716E-4, 2.0
662, 4.3940799867637944E-4, 1.0
663, 4.4007075583878726E-4, 1.0
664, 4.407335130011951E-4, 3.0
665, 4.413962701636029E-4, 2.0
666, 4.4205902732601067E-4, 2.0
667, 4.427217844884185E-4, 1.0
668, 4.433845416508263E-4, 0.0
669, 4.440472988132341E-4, 0.0
670, 4.4471005597564194E-4, 2.0
671, 4.4537281313804976E-4, 0.0
672, 4.460355703004576E-4, 2.0
673, 4.4669832746286535E-4, 3.0
674, 4.4736108462527317E-4, 0.0
675, 4.48023841787681E-4, 0.0
676, 4.486865989500888E-4, 1.0
677, 4.493493561124966E-4, 0.0
678, 4.5001211327490444E-4, 3.0
679, 4.5067487043731226E-4, 2.0
680, 4.513376275997201E-4, 0.0
681, 4.5200038476212785E-4, 1.0
682, 4.5266314192453567E-4, 0.0
683, 4.533258990869435E-4, 5.0
684, 4.539886562493513E-4, 3.0
685, 4.546514134117591E-4, 5.0
686, 4.5531417057416694E-4, 2.0
687, 4.5597692773657476E-4, 0.0
688, 4.5663968489898253E-4, 1.0
689, 4.5730244206139035E-4, 2.0
690, 4.5796519922379817E-4, 1.0
691, 4.58627956386206E-4, 2.0
692, 4.592907135486138E-4, 2.0
693, 4.599534707110216E-4, 0.0
694, 4.6061622787342945E-4, 2.0
695, 4.6127898503583726E-4, 0.0
696, 4.6194174219824503E-4, 1.0
697, 4.6260449936065285E-4, 0.0
698, 4.6326725652306067E-4, 0.0
699, 4.639300136854685E-4, 1.0
700, 4.645927708478763E-4, 3.0
701, 4.652555280102841E-4, 1.0
702, 4.6591828517269195E-4, 0.0
703, 4.665810423350997E-4, 1.0
704, 4.6724379949750753E-4, 0.0
705, 4.6790655665991535E-4, 0.0
706, 4.6856931382232317E-4, 2.0
707, 4.69232070984731E-4, 3.0
708, 4.698948281471388E-4, 1.0
709, 4.705575853095466E-4, 3.0
710, 4.7122034247195445E-4, 1.0
711, 4.718830996343622E-4, 1.0
712, 4.7254585679677003E-4, 3.0
713, 4.7320861395917785E-4, 1.0
714, 4.7387137112158567E-4, 1.0
